Date	Open	High	Low	Close
Nov 28, 2024 00:00	1.92356	1.91869	1.92723	1.92223
Nov 27, 2024 00:00	1.93386	1.91887	1.93735	1.92359
Nov 26, 2024 00:00	1.93566	1.93278	1.93577	1.93382
Nov 25, 2024 00:00	1.91931	1.91876	1.94197	1.93645
Nov 24, 2024 00:00	1.92249	1.91333	1.92249	1.91608
Nov 21, 2024 00:00	1.92474	1.92315	1.93222	1.92556
Nov 20, 2024 00:00	1.91556	1.91465	1.92927	1.92482
Nov 19, 2024 00:00	1.92245	1.91512	1.92715	1.91556
Nov 18, 2024 00:00	1.91961	1.91802	1.93076	1.92237
Nov 17, 2024 00:00	1.92071	1.91924	1.92611	1.91975
Nov 14, 2024 00:00	1.91928	1.91267	1.92471	1.92020
Nov 13, 2024 00:00	1.91432	1.90927	1.92467	1.91935
Nov 12, 2024 00:00	1.90309	1.90078	1.91902	1.91428
Nov 11, 2024 00:00	1.90607	1.90295	1.91055	1.90324
Nov 10, 2024 00:00	1.91344	1.91237	1.93028	1.91391
Nov 08, 2024 00:00	1.90309	1.90222	1.91975	1.91644
Nov 07, 2024 00:00	1.92145	1.89948	1.92308	1.90306
Nov 06, 2024 00:00	1.92938	1.91391	1.94050	1.92315
Nov 05, 2024 00:00	1.93986	1.92234	1.95465	1.92715
Nov 04, 2024 00:00	1.92415	1.92197	1.95389	1.93765
Nov 03, 2024 00:00	1.92334	1.92141	1.93480	1.92552
Nov 01, 2024 00:00	1.93964	1.92101	1.94288	1.92898
Oct 31, 2024 00:00	1.93308	1.92987	1.94742	1.93964
Oct 30, 2024 00:00	1.93114	1.92293	1.94518	1.93334
Oct 29, 2024 00:00	1.93170	1.92382	1.94073	1.93162
Oct 28, 2024 00:00	1.92582	1.92421	1.94292	1.93155
Oct 27, 2024 00:00	1.92636	1.92396	1.94201	1.92611
Oct 25, 2024 00:00	1.92263	1.91924	1.93461	1.93162
Oct 24, 2024 00:00	1.92164	1.91443	1.92619	1.92260
Oct 23, 2024 00:00	1.91219	1.90598	1.93076	1.92130
Oct 22, 2024 00:00	1.91975	1.90667	1.92319	1.91179
Oct 21, 2024 00:00	1.90270	1.90092	1.91887	1.91839
Oct 20, 2024 00:00	1.90887	1.90259	1.90887	1.90277
Oct 18, 2024 00:00	1.90563	1.89960	1.90876	1.90498
Oct 17, 2024 00:00	1.90676	1.90195	1.91131	1.90538
Oct 16, 2024 00:00	1.91688	1.90527	1.92123	1.90752
Oct 15, 2024 00:00	1.90411	1.90154	1.91597	1.91578
Oct 14, 2024 00:00	1.91230	1.89959	1.91608	1.90411
Oct 13, 2024 00:00	1.91329	1.91150	1.91428	1.91318
Oct 11, 2024 00:00	1.91461	1.90690	1.92286	1.91022
Oct 10, 2024 00:00	1.91516	1.90687	1.92322	1.91531
Oct 09, 2024 00:00	1.90288	1.90089	1.92308	1.91512
Oct 08, 2024 00:00	1.90894	1.89861	1.91975	1.90255
Oct 07, 2024 00:00	1.89183	1.88939	1.92230	1.90985
Oct 06, 2024 00:00	1.90262	1.88579	1.90324	1.89097
Oct 04, 2024 00:00	1.88857	1.88658	1.90212	1.89322
Oct 03, 2024 00:00	1.88012	1.87649	1.89387	1.88857
Oct 02, 2024 00:00	1.88115	1.87136	1.88281	1.87998
Oct 01, 2024 00:00	1.86452	1.86327	1.88658	1.88129
Sep 30, 2024 00:00	1.87182	1.85770	1.87220	1.86459
Sep 29, 2024 00:00	1.87636	1.87171	1.88409	1.87189
Sep 27, 2024 00:00	1.86693	1.86420	1.88972	1.87642
Sep 26, 2024 00:00	1.87931	1.86515	1.88381	1.86665
Sep 25, 2024 00:00	1.87070	1.86324	1.88676	1.87928
Sep 24, 2024 00:00	1.88338	1.86571	1.88633	1.87080
Sep 23, 2024 00:00	1.88452	1.87758	1.88768	1.88338
Sep 22, 2024 00:00	1.89190	1.88416	1.89211	1.88445
Sep 20, 2024 00:00	1.89128	1.88225	1.89825	1.88644
Sep 19, 2024 00:00	1.90071	1.88555	1.90440	1.89161
Sep 18, 2024 00:00	1.90843	1.89753	1.91799	1.90082
Sep 17, 2024 00:00	1.91124	1.90665	1.91681	1.90825
Sep 16, 2024 00:00	1.91329	1.90836	1.91865	1.91113
Sep 15, 2024 00:00	1.91935	1.91219	1.92005	1.91329
Sep 13, 2024 00:00	1.90208	1.90114	1.92578	1.91718
Sep 12, 2024 00:00	1.91256	1.89959	1.92604	1.90226
Sep 11, 2024 00:00	1.92090	1.90944	1.93573	1.91252
Sep 10, 2024 00:00	1.91674	1.91296	1.92571	1.92234
Sep 09, 2024 00:00	1.92197	1.91262	1.92567	1.91685
Sep 08, 2024 00:00	1.92226	1.91858	1.92619	1.92057
Sep 06, 2024 00:00	1.90451	1.89779	1.92678	1.92204
Sep 05, 2024 00:00	1.91106	1.89728	1.91520	1.90425
Sep 04, 2024 00:00	1.90223	1.89545	1.91278	1.91095
Sep 03, 2024 00:00	1.88558	1.88345	1.91538	1.90197
Sep 02, 2024 00:00	1.88207	1.88172	1.89329	1.88544
Aug 30, 2024 00:00	1.88551	1.87959	1.89236	1.88279
Aug 29, 2024 00:00	1.90176	1.88221	1.90331	1.88548
Aug 28, 2024 00:00	1.90349	1.89654	1.91325	1.90179
Aug 27, 2024 00:00	1.90270	1.89425	1.91197	1.90353
Aug 26, 2024 00:00	1.89653	1.89606	1.91197	1.90273
Aug 23, 2024 00:00	1.91175	1.89152	1.91688	1.89358
Aug 22, 2024 00:00	1.90840	1.90634	1.92530	1.91175
Aug 21, 2024 00:00	1.90313	1.90071	1.91758	1.90694
Aug 20, 2024 00:00	1.89530	1.88501	1.90730	1.90317
Aug 19, 2024 00:00	1.90313	1.89452	1.91022	1.89534
Aug 16, 2024 00:00	1.91659	1.90458	1.92330	1.90803
Aug 15, 2024 00:00	1.92749	1.90890	1.93528	1.91659
Aug 14, 2024 00:00	1.90197	1.90020	1.94239	1.92753
Aug 13, 2024 00:00	1.92012	1.90139	1.92160	1.90190
Aug 12, 2024 00:00	1.92931	1.90436	1.93840	1.92023
Aug 09, 2024 00:00	1.92105	1.91233	1.93125	1.92753
Aug 08, 2024 00:00	1.94145	1.91828	1.95607	1.92086
Aug 07, 2024 00:00	1.96367	1.91732	1.96580	1.94167
Aug 06, 2024 00:00	1.96618	1.95626	1.98997	1.96344
Aug 05, 2024 00:00	1.96390	1.96102	2.02877	1.96637
Aug 02, 2024 00:00	1.93046	1.92267	1.95925	1.95886
Aug 01, 2024 00:00	1.91340	1.90985	1.93237	1.93024
Jul 31, 2024 00:00	1.92123	1.90760	1.92845	1.91351
Jul 30, 2024 00:00	1.92053	1.90996	1.92805	1.92116
Jul 29, 2024 00:00	1.92023	1.91855	1.92864	1.92057
Jul 26, 2024 00:00	1.92838	1.91709	1.93162	1.92230
Jul 25, 2024 00:00	1.90698	1.90676	1.94231	1.92831
Jul 24, 2024 00:00	1.88487	1.88435	1.91869	1.90687
Jul 23, 2024 00:00	1.88253	1.87992	1.89129	1.88480
Jul 22, 2024 00:00	1.86975	1.86958	1.89090	1.88101
Jul 19, 2024 00:00	1.86501	1.86317	1.87547	1.87371
Jul 18, 2024 00:00	1.86498	1.85460	1.87136	1.86498
Jul 17, 2024 00:00	1.84468	1.84171	1.87441	1.86442
Jul 16, 2024 00:00	1.83925	1.83773	1.86123	1.84836
Jul 15, 2024 00:00	1.82919	1.82315	1.85052	1.83813
Jul 12, 2024 00:00	1.83113	1.82513	1.83857	1.82849
Jul 11, 2024 00:00	1.82712	1.82348	1.84413	1.83120
Jul 10, 2024 00:00	1.81858	1.81658	1.83891	1.82718
Jul 09, 2024 00:00	1.81689	1.81534	1.82425	1.81843
Jul 08, 2024 00:00	1.82017	1.81551	1.82802	1.81706
Jul 05, 2024 00:00	1.81742	1.81258	1.82989	1.81818
Jul 04, 2024 00:00	1.81782	1.80973	1.82060	1.81739
Jul 03, 2024 00:00	1.81967	1.81366	1.82983	1.81782
Jul 02, 2024 00:00	1.82595	1.81865	1.83184	1.81964
